p1_strength_of_schedule_score,p1_rivalry_score,p2_elo,p2_pts,ranking_ratio,p1_pts,p2_ranking,p2_form_win_percentage,p1_predicted_score,ranking_diff,p1_elo,elo_diff,p1_ranking,p2_form_recent_score,p1_regional_comfort_win_rate,p2_ranking_momentum_score,cuota1,prediction_confidence,p1_surface_specialization_score,p1_ranking_momentum_score,p2_predicted_score,p2_current_streak_count,p1_form_recent_score,cuota2,match_competitiveness,predicted_score_diff,p1_prob_win
-2.0323587325495485,1.74755684608244,1.7185261342627132,0.09079936432329659,-0.3365223680142438,0.24208884661741017,-0.7084599073691954,-0.3057903164656318,0.30462551466679655,-0.049115810299777206,0.5870024617984608,-1.4514916577938843,-0.6699406258256925,-2.0466817630310086,0.7588618208457046,1.6438446697939098,0.8130779127647912,-0.18566805453704316,-1.570709366538152,1.3093472979379694,-0.0863535930364189,-0.5314526475228368,-2.633827512061284,-0.8129863484054032,1.210979321551756,0.5400209057755004,0.5349429451582145
-2.0323587325495485,-0.5635178434231237,1.4089009261191523,0.04508732386084205,0.36362046244298313,-0.34186805721977237,-0.6887013561034262,-0.02218944642243442,0.3178537122887322,0.16523376688831354,0.1589774016642487,-1.6797284917145459,-0.48398250662882286,-1.9818596780644469,-0.5491741543837405,1.6438446697939098,0.375975778663778,-0.5360104537251128,-1.570709366538152,1.732885433364145,0.25589416403641513,-0.5314526475228368,-2.2727985988312924,-0.6998832120965062,0.19037229509110573,0.07393475077352914,0.32739298293223956
-2.0323587325495485,2.7251414397432936,1.1076439668443363,0.1952840282374784,-0.8506862649751381,3.209404741697047,-0.7348046423902209,-0.5893911865088293,0.7676124314345342,-0.16875278361406043,2.8698027825142587,2.850772661610581,-0.7873878590026627,-2.0790928055142888,-1.284025825860957,1.2882583445844429,-0.9003624529111804,0.9719850906061449,-1.570709366538152,1.47876255210844,-0.7219565704573958,-1.1530911988677308,-1.9518840092935223,6.167092920943674,0.19037229509110573,2.099616885974404,0.6502185485738271
-2.0323587325495485,-0.2553745514890486,1.492583414806601,0.2877964910781602,0.5911105204253735,-0.19384177229360286,-0.7567585882410756,-0.5893911865088293,-0.11867680923513463,0.15526401911212329,0.9324261945383513,-0.6184272139834706,-0.5524933926487222,-2.0790928055142888,0.7588618208457046,1.6438446697939098,0.24484513843347416,-0.5055458972739758,-1.570709366538152,1.7752392469067628,0.023654614594135166,-0.5314526475228368,-2.3129129225235134,-0.6594892348433286,0.19037229509110573,-0.17703471730445544,0.3362613025956473
-2.0323587325495485,0.4379478553626206,1.1745899577942953,-0.0931371794422943,-0.43125846049723765,0.14023589827371555,-0.640402675231546,-0.3057903164656318,0.013605166984219054,-0.09896454918072854,0.5794932502171588,-0.7211337892477682,-0.6484086330765813,-1.9818596780644469,-2.5087786116563175,1.2092391612045612,0.6382370591243858,0.2713002922300047,-1.570709366538152,1.2669934843953516,-0.6852871679138776,0.09018590382205717,-2.5134845409846203,-0.7806711666028613,1.210979321551756,1.0240334513544707,0.5841905229354074
-2.0323587325495485,1.7321496814857367,0.4549205550822349,0.332420149624842,-0.6674967154536147,1.3964222611792827,-0.7677355611665029,-0.8729920565520267,0.569189467105504,-0.1014569861247761,2.2089921633596856,2.7366542446502504,-0.7638984123672686,-2.1439148904808505,-0.059273040065596326,1.2882583445844429,-0.7867158980449172,0.16467434465102748,-1.570709366538152,1.7752392469067628,-0.19636180066697242,-0.8422719231952839,-2.5134845409846203,1.7237554230941454,1.210979321551756,1.0598862325084686,0.5866175789173301
-2.0323587325495485,1.1697881737060492,1.7603673786064375,0.284531345330842,-0.5838175385116842,1.0025908609169967,-0.7523677990709047,-0.02218944642243442,0.4369074908861503,-0.0939796752926334,2.411740876054839,1.2645266658619851,-0.7443238735044403,-1.9818596780644469,0.9891153445752325,1.6438446697939098,-0.49822848953824833,-0.5969395666273856,-1.570709366538152,1.351701111480587,0.4636874451163498,-0.5314526475228368,-2.3129129225235134,0.10799633296704439,1.210979321551756,-0.08740276441946095,0.5793242521487495
-2.0323587325495485,-0.5635178434231237,1.7854721252126722,0.051617615355478416,-0.130538026689763,-0.0010001900962076837,-0.6930921452735972,-0.02218944642243442,-0.8462276784415796,0.010702676357364398,0.14395897850164477,-2.2160850514280996,-0.6092595553509245,-1.9818596780644469,1.1654797457297643,1.6438446697939098,0.5508166323041834,0.5759458567413699,-1.570709366538152,1.2669934843953516,0.29256356657993277,-0.5314526475228368,-2.5535988646768413,-0.7645135757015903,2.231586348012406,-1.5573667917333704,0.47502081252106
-2.0323587325495485,4.6479555814119236,1.4758469170691113,0.22467033996334204,-0.5078625932874704,0.7146865269321533,-0.7435862207305628,-0.8729920565520267,0.4898202813738917,-0.08151749057239557,1.1276656956522024,-0.2988956464945448,-0.7267067885278947,-2.1439148904808505,-0.8774079009768972,1.2882583445844429,0.375975778663778,-0.20090033276261057,-1.570709366538152,1.351701111480587,0.07254715131882573,-0.8422719231952839,-2.6739418357535047,-0.6998832120965062,1.210979321551756,0.5579472963524994,0.5670929049654543
-2.0323587325495485,1.0349754834848912,0.9653837360756731,0.08862260049175114,-0.45434888187950156,0.3819668956760841,-0.7040691181990245,-0.5893911865088293,0.2913973170448615,-0.08400992751644314,1.6307828715994344,1.1618200905976876,-0.6934300724610865,-2.0790928055142888,-0.4071028312314788,1.248748752894502,-0.55068074563037,-0.06380982873249642,-1.570709366538152,1.3093472979379694,-0.2208080690293177,-0.8422719231952839,-2.5535988646768413,0.2291782647265769,1.210979321551756,0.7013584209684905,0.569546223939229
